slug	status	attempts	unlinked	prompt_tokens	output_tokens	usd	seconds	failures
kurtosis-trong-spss	ok	1	0	9816	4511	0.00738	55.9	
mo-hinh-toe	ok	1	0	9921	5461	0.00854	62.4	
manova-la-gi	ok	1	0	9836	3971	0.00673	39.9	
process-macro-la-gi	ok	1	0	9948	4085	0.00689	42.0	
nhan-thuc-rui-ro-tpr-la-gi	ok	1	0	9834	5052	0.00803	43.4	
mode-trong-thong-ke-la-gi	ok	1	0	9860	4110	0.00690	44.9	
niem-tin-suc-khoe-la-gi	ok	1	0	9803	4985	0.00794	51.9	
missing-value-la-gi	rejected	2	0	24520	8905	0.01559	71.8	0 distinct internal links, need at least 4
muc-y-nghia-trong-spss	ok	1	0	9837	4014	0.00678	36.6	
sobel-test-la-gi	ok	1	0	9917	4099	0.00690	40.8	
swot-la-gi	ok	1	0	9805	4838	0.00777	43.7	
servperf-la-gi	ok	1	0	9809	4766	0.00768	51.9	
outlier-trong-spss	ok	1	0	9814	4254	0.00707	51.9	
p-value-trong-spss	ok	1	0	9832	4472	0.00733	59.3	
phan-phoi-t-la-gi	ok	1	0	9911	4590	0.00749	41.7	
phuong-sai-trich-ave-la-gi	ok	1	0	9892	4003	0.00678	42.6	
tam-la-gi	ok	1	0	9855	4882	0.00783	49.3	
task-technology-fit-la-gi	ok	1	0	9823	5048	0.00802	52.5	
tac-dong-gian-tiep-la-gi	rejected	2	0	24261	8395	0.01493	77.7	0 distinct internal links, need at least 4
phan-phoi-chuan-la-gi	repaired	2	0	24407	8815	0.01546	82.6	
power-cua-kiem-dinh-la-gi	ok	1	0	9879	4592	0.00749	34.3	
tong-tac-dong-la-gi	ok	1	0	9910	4551	0.00744	39.8	
post-hoc-la-gi	repaired	2	0	24015	8457	0.01495	71.3	
toe-la-gi	rejected	2	0	24762	9665	0.01655	72.4	0 distinct internal links, need at least 4
phuong-sai-trong-spss	repaired	2	0	24273	9072	0.01574	73.9	
the-che-la-gi	repaired	2	0	24677	9793	0.01669	74.9	
rho-a-la-gi	ok	1	0	9905	4574	0.00747	34.5	
shapiro-wilk-la-gi	ok	1	0	9852	4277	0.00710	36.0	
sai-lam-loai-1-la-gi	ok	1	0	9927	4510	0.00740	43.5	
tra-la-gi	ok	1	0	9793	4851	0.00778	45.7	
tpb-la-gi	ok	1	0	9795	5481	0.00854	51.6	
trao-doi-xa-hoi-la-gi	repaired	2	0	24654	10110	0.01706	86.2	
utaut-la-gi	ok	1	0	9820	4962	0.00792	39.0	
split-half-reliability-la-gi	ok	1	0	9911	4184	0.00700	39.1	
trung-gian-mot-phan-la-gi	ok	1	0	9948	4448	0.00733	40.2	
t-test-trong-spss	ok	1	0	9808	4071	0.00685	40.3	
tu-quyet-la-gi	ok	1	0	9797	5382	0.00842	42.9	
skewness-trong-spss	repaired	2	0	24042	8813	0.01538	66.3	
trung-vi-trong-spss	ok	1	0	9817	4341	0.00717	35.5	
vaf-la-gi	ok	1	0	9901	4553	0.00744	40.0	
test-retest-reliability-la-gi	repaired	2	0	24220	8405	0.01493	61.9	
tu-phan-vi-la-gi	repaired	2	0	24424	9238	0.01597	65.2	
tan-so-la-gi	repaired	2	0	23818	7999	0.01436	70.6	
utaut2-la-gi	repaired	2	0	25044	10624	0.01776	77.6	
z-score-la-gi	ok	1	0	9850	4307	0.00714	34.6	
wilcoxon-la-gi	ok	1	0	9839	4354	0.00719	34.8	
mediator	ok	1	0	9892	4130	0.00693	32.7	
nghien-cuu-dinh-luong	ok	1	0	9958	4072	0.00688	34.2	
t-test	ok	1	0	9948	4446	0.00732	35.0	
bang-hoi-la-gi	ok	1	0	9875	4348	0.00719	37.5	
phu-luc-la-gi	ok	1	0	9835	4813	0.00774	38.7	
linh-vuc-nghien-cuu	ok	1	0	9891	4300	0.00714	47.9	
cong-thuc-he-so-tuong-quan	ok	1	0	9885	3597	0.00629	27.7	
kmo	ok	1	0	9881	4230	0.00705	32.9	
coef-la-gi	ok	1	0	9825	4361	0.00720	34.0	
trung-binh-la-gi	ok	1	0	9840	4513	0.00738	37.3	
logistic-regression-la-gi	ok	1	0	9830	4449	0.00730	46.2	
ols	repaired	2	0	24013	9428	0.01612	60.7	
bien-doc-lap-la-gi	ok	1	0	9966	4099	0.00691	30.2	
gia-tri-trung-binh-la-gi	ok	1	0	9864	4112	0.00691	30.5	
r-square-trong-spss	ok	1	0	9818	4151	0.00694	33.2	
thiet-ke-bang-hoi-khao-sat	ok	1	0	9802	4609	0.00749	38.4	
ly-thuyet-acsi	ok	1	0	9924	5097	0.00810	40.7	
gia-thuyet-h0-la-gi	ok	1	0	9954	4559	0.00746	42.5	
missing-value-la-gi	ok	1	0	9850	4140	0.00694	30.0	
tac-dong-gian-tiep-la-gi	ok	1	0	9951	4227	0.00706	37.4	
toe-la-gi	ok	1	0	9818	4763	0.00768	42.1	
